id,quantity,reserved_quantity,location,last_updated,product_id,warehouse_id
1,2576.0,0,,2025-07-12 07:08:39.565250,1,1
2,232.0,0,,2025-07-19 08:32:17.672737,2,1
3,0.0,0,,2025-07-05 12:43:19.439909,3,1
4,0.0,0,,2025-07-05 12:43:55.886755,4,1
5,0.0,0,,2025-07-05 12:44:32.253222,5,1
6,0.0,0,,2025-07-05 12:44:53.786670,6,1
7,0.0,0,,2025-07-05 12:45:31.605319,7,1
8,125266.0,0,,2025-07-22 09:58:52.121175,8,1
9,81382.0,0,,2025-07-22 11:07:16.649254,9,1
10,214926.0,0,,2025-07-12 12:01:44.009562,10,1
11,72000.0,0,,2025-07-09 12:56:40.623058,11,1
12,9500.0,0,,2025-07-05 13:25:13.288739,12,1
13,10000.0,0,,2025-07-05 13:25:11.208093,13,1
14,3000.0,0,,2025-07-05 13:25:12.288637,14,1
15,66.0,0,,2025-07-05 13:25:08.224321,15,1
16,299.0,0,,2025-07-23 10:25:47.163784,16,1
17,248.0,0,,2025-07-21 13:39:49.905740,17,1
18,200.0,0,,2025-07-21 13:32:56.188512,18,1
19,600.0,0,,2025-07-21 13:26:52.399714,19,1
20,1100.0,0,,2025-07-23 10:23:03.586824,20,1
21,1650.0,0,,2025-07-05 13:25:08.331996,21,1
22,2750.0,0,,2025-07-05 13:25:08.385516,22,1
23,1100.0,0,,2025-07-05 13:25:08.490851,23,1
24,1650.0,0,,2025-07-23 10:23:48.114072,24,1
25,28250.0,0,,2025-07-24 06:09:42.125521,25,1
26,2200.0,0,,2025-07-05 13:25:09.774203,26,1
27,600.0,0,,2025-07-21 12:52:53.883712,27,1
28,76.0,0,,2025-07-21 07:53:23.176855,28,1
29,4.0,0,,2025-07-12 09:45:14.987916,29,1
30,471.0,0,,2025-07-06 07:42:45.690160,30,2
31,0.0,0,,2025-07-10 09:35:55.979918,31,3
32,44416.0,0,,2025-07-22 11:07:16.653773,32,1
33,6969.0,0,تحت مصطفي,2025-07-22 11:07:16.655767,33,1
34,0.0,0,,2025-07-06 12:11:24.450150,36,2
35,4647.14,0,,2025-07-09 12:13:26.065040,35,2
36,0.0,0,,2025-07-10 09:35:56.127332,36,3
37,0.0,0,,2025-07-10 09:35:56.177584,34,3
38,0.0,0,,2025-07-07 08:55:56.741762,37,3
39,0.0,0,,2025-07-09 13:26:51.891898,40,2
40,339.21,0,,2025-07-21 13:07:16.408610,41,2
41,7.0,0,تحت مصطفي,2025-07-19 09:19:07.482880,42,2
42,1.0,0,تحت مصطفي,2025-07-19 10:02:17.230622,45,1
43,2073.78,0,,2025-07-19 10:31:58.630538,50,2
44,310.3,0,تحت مصطفي,2025-07-21 13:04:31.993097,52,2
45,20000.0,0,الصندره,2025-07-23 10:12:02.651200,54,1
46,9000.0,0,الصندره,2025-07-23 10:13:35.690297,55,1
47,1.0,0,,2025-07-23 10:13:58.950215,56,1
48,2000.0,0,الصندره,2025-07-23 10:14:16.946680,57,1
49,10000.0,0,الصندره,2025-07-23 10:14:39.495262,58,1
50,20000.0,0,تحت مصطفي,2025-07-23 10:14:57.815048,59,1
51,15000.0,0,الصندره,2025-07-23 10:15:40.945131,60,1
52,25000.0,0,الصندره,2025-07-23 10:16:27.145180,62,1
53,19300.0,0,الصندره,2025-07-24 05:52:54.925804,63,1
54,45000.0,0,الصندره,2025-07-23 10:17:44.216310,64,1
55,15000.0,0,الصندره,2025-07-23 10:18:25.744419,65,1
56,5000.0,0,الصندره,2025-07-23 10:18:47.914873,66,1
57,10000.0,0,الصندره,2025-07-23 10:19:14.931739,67,1
58,15000.0,0,الصندره,2025-07-23 10:19:51.944628,69,1
